Sr.,Year,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
1575,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,1261,1261
1576,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1453,1904
1577,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,4399,4443
1578,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,SC,Gender-Neutral,827,1144
1579,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,SC,Female-Only,2089,2223
1580,2022,IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,ST,Gender-Neutral,514,652
1581,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,4238,5416
1582,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,9406,10297
1583,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,946,1044
1584,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,1964,2469
1585,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,4745,4745
1586,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1277,1516
1587,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,2550,2550
1588,2022,IIT-Gandhinagar,Electrical Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,702,702
1589,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,GEN,Gender-Neutral,10162,11707
1590,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,GEN,Female-Only,12838,15820
1591,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1785,1837
1592,2022,IIT-Gandhinagar,Materials Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,4218,4875
